expiry,stock,stk_price,strike,sd,type,lastprice,volume,openinterest,voi-flag,voi,be,em,empct
2024-05-31,IBB,136.77,138.5,1,Call,0.55,13.0,2.0,1,6.5,0.02,1.75,0.01
2024-05-31,COIN,225.55,250.0,1,Call,4.4,2901.0,1762.0,1,1.65,0.13,24.05,0.1
2024-06-14,COIN,225.55,250.0,1,Call,10.35,967.0,440.0,1,2.2,0.15,19.7,0.08
2024-05-31,LQD,107.32,109.5,2,Call,0.03,10.0,3.0,1,3.33,0.02,1.13,0.01
2024-05-31,ASAN,15.14,12.5,1,Put,0.22,24.0,15.0,1,1.6,-0.19,2.7,0.17
2024-06-07,JETS,20.6,21.5,1,Call,0.11,1196.0,148.0,1,8.08,0.05,0.77,0.04
2024-06-07,RTX,105.58,100.0,2,Put,0.11,24.0,9.0,1,2.67,-0.05,3.2,0.03
2024-05-31,UNG,19.5,22.0,2,Call,0.14,122.0,49.0,1,2.49,0.14,1.94,0.09
2024-05-31,BA,185.01,167.5,2,Put,0.18,162.0,93.0,1,1.74,-0.1,8.61,0.04
2024-05-31,SNAP,15.53,14.5,1,Put,0.07,538.0,324.0,1,1.66,-0.07,1.13,0.07
2024-06-14,NVDA,951.65,1130.0,2,Call,8.5,113.0,60.0,1,1.88,0.2,111.23,0.11
2024-05-31,AA,44.04,35.5,2,Put,0.08,6.0,3.0,1,2.0,-0.2,4.16,0.09
2024-05-31,AA,44.04,47.0,1,Call,0.38,114.0,26.0,1,4.38,0.08,4.16,0.09
2024-06-14,AA,44.04,50.0,1,Call,0.48,35.0,23.0,1,1.52,0.15,2.27,0.05
2024-06-14,AA,44.04,50.0,1,Call,0.48,35.0,23.0,1,1.52,0.15,2.27,0.05
2024-05-31,CSCO,46.74,44.5,2,Put,0.04,16.0,3.0,1,5.33,-0.05,1.15,0.02
2025-01-17,CHGG,4.16,6.0,1,Call,0.4,889.0,231.0,1,3.85,0.54,2.37,0.54
2024-05-31,SNOW,162.4,182.5,1,Call,2.71,655.0,37.0,1,17.7,0.14,19.42,0.11
2024-06-14,FANG,196.47,185.0,2,Put,0.84,1.0,0.0,1,inf,-0.06,,
2024-06-14,FANG,196.47,190.0,1,Put,1.14,5.0,3.0,1,1.67,-0.04,,
2024-05-31,LI,21.05,19.0,1,Put,0.22,571.0,185.0,1,3.09,-0.11,2.29,0.1
2024-06-14,LI,21.05,26.0,2,Call,0.25,2664.0,459.0,1,5.8,0.25,1.76,0.08
2024-06-14,ROKU,57.94,51.0,2,Put,0.33,66.0,23.0,1,2.87,-0.13,7.55,0.12
2024-05-23,IWM,208.27,205.0,2,Put,0.15,10239.0,4160.0,1,2.46,-0.02,2.38,0.01
2024-05-22,IWM,208.27,206.0,1,Put,0.07,2070.0,501.0,1,4.13,-0.01,1.83,0.01
2024-06-14,SPWR,2.72,1.0,2,Put,0.02,136.0,37.0,1,3.68,-0.64,1.12,0.39
2024-05-31,TBT,35.16,33.0,2,Put,0.04,90.0,21.0,1,4.29,-0.06,1.13,0.03
2024-05-31,GLD,224.23,227.5,1,Call,1.22,2082.0,1326.0,1,1.57,0.02,5.91,0.03
2024-05-31,V,276.01,282.5,1,Call,0.56,624.0,220.0,1,2.84,0.03,6.55,0.02
2024-06-14,X,36.22,43.0,2,Call,0.14,40.0,15.0,1,2.67,0.19,3.43,0.09
2024-06-07,TAN,42.85,40.5,1,Put,0.81,5.0,2.0,1,2.5,-0.07,2.92,0.06
2024-06-14,TAN,42.85,45.0,1,Call,0.73,15.0,3.0,1,5.0,0.07,1.4,0.03
2024-05-31,CLX,134.31,129.0,2,Put,0.2,2.0,1.0,1,2.0,-0.04,3.9,0.03
2024-05-31,JPM,199.76,195.0,1,Put,0.51,4640.0,1699.0,1,2.73,-0.03,5.6,0.03
2024-07-19,K,62.15,65.0,1,Call,0.45,30.0,13.0,1,2.31,0.05,4.75,0.07
2024-07-19,K,62.15,65.0,1,Call,0.45,30.0,13.0,1,2.31,0.05,4.75,0.07
2024-05-31,HOOD,20.97,19.0,1,Put,0.2,1391.0,512.0,1,2.72,-0.1,2.13,0.1
2024-06-07,UVXY,24.59,21.5,2,Put,0.13,30.0,11.0,1,2.73,-0.13,3.4,0.13
2024-06-14,UAL,52.99,50.0,1,Put,0.61,80.0,33.0,1,2.42,-0.07,4.2,0.08
2024-06-14,UAL,52.99,59.0,2,Call,0.3,302.0,13.0,1,23.23,0.12,4.2,0.08
2024-07-19,PGR,208.98,185.0,2,Put,0.93,6.0,1.0,1,6.0,-0.12,17.9,0.08
2024-07-19,PGR,208.98,190.0,1,Put,1.45,6.0,2.0,1,3.0,-0.1,17.9,0.08
2024-06-14,AVGO,1398.88,1335.0,1,Put,26.78,10.0,2.0,1,5.0,-0.06,121.66,0.08
2024-06-07,SOFI,7.07,5.5,2,Put,0.01,1680.0,487.0,1,3.45,-0.22,0.79,0.11
2024-06-07,ARM,114.8,106.0,1,Put,1.49,149.0,49.0,1,3.04,-0.09,11.11,0.09
2024-05-31,DASH,113.01,107.0,1,Put,0.69,104.0,32.0,1,3.25,-0.06,5.61,0.05
2024-05-31,DASH,113.01,124.0,2,Call,0.27,12.0,3.0,1,4.0,0.1,5.61,0.05
2024-05-31,OPEN,2.26,1.5,1,Put,0.06,100.0,10.0,1,10.0,-0.36,0.57,0.24
2024-06-07,DBX,23.6,26.0,2,Call,0.09,30.0,10.0,1,3.0,0.11,0.6,0.02
2024-05-31,PANW,311.97,280.0,2,Put,0.2,511.0,316.0,1,1.62,-0.1,15.5,0.05
2024-06-07,PANW,311.97,280.0,2,Put,0.54,632.0,61.0,1,10.36,-0.1,9.4,0.03
2024-06-14,PANW,311.97,295.0,1,Put,3.23,77.0,33.0,1,2.33,-0.06,11.85,0.04
2024-05-31,PANW,311.97,297.5,1,Put,1.56,355.0,42.0,1,8.45,-0.05,15.5,0.05
2024-05-31,PANW,311.97,325.0,1,Call,2.72,762.0,372.0,1,2.05,0.05,15.5,0.05
2024-06-14,PANW,311.97,325.0,1,Call,5.62,70.0,37.0,1,1.89,0.06,11.85,0.04
2024-06-07,PANW,311.97,345.0,2,Call,1.0,87.0,32.0,1,2.72,0.11,9.4,0.03
2024-06-14,TDOC,11.84,10.0,2,Put,0.04,200.0,111.0,1,1.8,-0.16,2.04,0.16
2024-06-14,TDOC,11.84,11.0,1,Put,0.21,198.0,45.0,1,4.4,-0.09,2.04,0.16
2024-05-31,SMCI,899.24,1000.0,1,Call,19.6,1232.0,780.0,1,1.58,0.13,100.7,0.11
2024-05-31,SMCI,899.24,1100.0,2,Call,7.2,803.0,462.0,1,1.74,0.23,100.7,0.11
2024-05-31,HIMS,17.58,18.0,1,Call,0.7,1052.0,250.0,1,4.21,0.06,0.9,0.05
2024-06-07,HIMS,17.58,18.0,1,Call,0.85,608.0,179.0,1,3.4,0.07,1.3,0.07
2024-06-07,CAVA,78.24,59.0,2,Put,0.48,3.0,1.0,1,3.0,-0.25,5.7,0.07
2024-06-14,DJT,44.3,59.0,2,Call,0.9,9.0,2.0,1,4.5,0.35,12.42,0.27
2024-06-14,RDDT,59.47,53.0,1,Put,1.39,21.0,9.0,1,2.33,-0.13,9.67,0.15
