expiry,stock,earnings_date,type,strike,sd,gatherdate,stk_price,lastprice,change,percentchange,volume,openinterest,impliedvolatility,lastprice_chg,lastprice_avg_30d,pct_chg,iv_chg,iv_avg_30d,iv_avg_all,vol_chg,oi_chg,flag,amnt,moneyness,voi,be,em,empct
2024-08-16,LI,2024-08-06,Put,17.5,2,2024-07-31 14:15:49,19.75,0.28,-0.21000001,-42.857143,27,47,0.6621127539062501,-0.18,0.49000000000000005,-39.13043478260869,0.015624843750000172,0.6453160468750001,0.6453160468750001,25.0,2.0,0,0,0.8860759493670886,0.574468085106383,-0.12810126582278486,3.04,0.14622784810126582
2024-08-16,LI,2024-08-06,Put,18.5,1,2024-07-31 14:15:49,19.75,0.52,-0.41000003,-44.086025,7,54,0.7070341796875,-0.41000000000000003,0.8320000000000001,-44.086021505376344,0.06542903320312499,0.649417568359375,0.649417568359375,5.0,-1.0,0,0,0.9367088607594937,0.12962962962962962,-0.08962025316455693,3.04,0.14622784810126582
2024-08-23,LI,2024-08-06,Put,18.5,1,2024-07-31 14:15:49,19.75,0.76,-0.28999996,-27.619045,5,25,0.6259803027343751,-0.29000000000000004,0.8999999999999999,-27.61904761904762,-0.0224607128906249,0.6216984945913462,0.6216984945913462,-6.0,0.0,0,0,0.9367088607594937,0.2,-0.10177215189873426,3.2300000000000004,0.15536708860759496
2024-08-30,LI,2024-08-06,Put,18.5,1,2024-07-31 14:15:49,19.75,0.85,-0.35000002,-29.166668,2,338,0.624027197265625,-0.35,1.0108333333333333,-29.166666666666668,0.007812421874999975,0.6243527148437501,0.6243527148437501,-5.0,1.0,0,0,0.9367088607594937,0.005917159763313609,-0.1063291139240507,3.01,0.14478481012658226
2024-12-20,LI,2024-08-06,Put,19.0,1,2024-07-31 14:15:49,19.75,2.4,-0.3599999,-13.043474,1,468,0.6430699755859376,-0.3599999999999999,2.7013333333333334,-13.043478260869563,0.07519456054687512,0.5707318317871094,0.5824485866135818,-6.0,7.0,0,0,0.9620253164556962,0.002136752136752137,-0.15949367088607588,3.35,0.1611392405063291
2025-06-20,LI,2024-08-06,Put,20.0,1,2024-07-31 14:15:49,19.75,4.45,0.0,0.0,3,1012,0.5471236694335939,0.0,4.400666666666667,0.0,0.00024413818359381168,0.5501102932128907,0.5686322434082032,0.0,0.0,0,0,1.0126582278481013,0.0029644268774703555,-0.21265822784810123,4.45,0.2140506329113924
2025-06-20,LI,2024-08-06,Put,20.0,1,2024-07-31 14:15:49,19.75,4.45,0.0,0.0,3,1012,0.5471236694335939,0.0,4.400666666666667,0.0,0.00024413818359381168,0.5501102932128907,0.5686322434082032,0.0,0.0,0,0,1.0126582278481013,0.0029644268774703555,-0.21265822784810123,4.45,0.2140506329113924
2024-08-16,LI,2024-08-06,Call,21.0,1,2024-07-31 14:15:49,19.75,0.64,0.22,52.380955,19,831,0.6689486230468751,0.22000000000000003,1.0393333333333332,52.380952380952394,-0.0009765527343750247,0.6433954931640626,0.6346813875976564,17.0,-1.0,0,0,1.0632911392405062,0.02286401925391095,0.0956962025316456,3.04,0.14622784810126582
2024-08-23,LI,2024-08-06,Call,21.0,1,2024-07-31 14:15:49,19.75,0.65,0.0,0.0,10,25,0.7539087109375,0.0,1.0376923076923077,0.0,0.08496008789062492,0.6582441026893029,0.6582441026893029,0.0,0.0,0,0,1.0632911392405062,0.4,0.09620253164556955,3.2300000000000004,0.15536708860759496
2024-08-30,LI,2024-08-06,Call,21.0,1,2024-07-31 14:15:49,19.75,0.86,0.18,26.470589,7,22,0.647464462890625,0.17000000000000004,1.02875,24.637681159420296,-0.012695185546875098,0.6648593084716797,0.6648593084716797,1.0,5.0,0,0,1.0632911392405062,0.3181818181818182,0.10683544303797465,3.01,0.14478481012658226
