expiry,earnings_date,stock,type,sd,strike,stk_price,lastprice,volume,openinterest,voi,be,em,empct
2024-08-16,2024-07-31,ebay,Call,1,60.0,55.27,0.7,19.0,4076.0,0.004661432777232581,0.09824497919305228,5.76,0.09900488510946262
2024-08-23,2024-07-31,ebay,Call,1,60.0,55.27,0.88,1.0,228.0,0.0043859649122807015,0.1015017188348109,5.93,0.10192690428804052
2024-10-18,2024-08-07,sono,Put,2,10.0,13.4,0.17,60.0,71.0,0.8450704225352113,-0.2664179104477612,4.1,0.2906716417910447
2025-01-17,2024-08-07,sono,Put,2,10.0,13.4,0.45,2.0,253.0,0.007905138339920948,-0.28731343283582084,5.38,0.3814179104477612
2024-09-20,2024-08-07,sono,Put,1,12.5,13.4,0.57,48.0,112.0,0.42857142857142855,-0.10970149253731348,1.9,0.13470149253731342
2024-10-18,2024-08-07,sono,Put,1,12.5,13.4,0.74,50.0,317.0,0.15772870662460567,-0.12238805970149258,4.1,0.2906716417910447
2025-01-17,2024-08-07,sono,Put,1,12.5,13.4,1.05,4.0,862.0,0.004640371229698376,-0.14552238805970158,5.38,0.3814179104477612
2024-10-18,2024-08-07,sono,Call,1,15.0,13.4,0.75,10.0,153.0,0.06535947712418301,0.1753731343283582,4.1,0.2906716417910447
2025-01-17,2024-08-07,sono,Call,1,15.0,13.4,1.35,1.0,448.0,0.002232142857142857,0.22014925373134336,5.38,0.3814179104477612
2025-01-17,2024-08-07,sono,Call,2,17.5,13.4,0.6,2.0,416.0,0.004807692307692308,0.3507462686567165,5.38,0.3814179104477612
2024-08-16,2024-07-31,pypl,Call,1,67.5,64.01,0.71,4103.0,5554.0,0.738746849117753,0.06561474769567237,4.7,0.06975472582408998
2024-08-09,2024-08-02,amc,Put,1,4.5,5.21,0.05,288.0,4631.0,0.06218959188080328,-0.145873320537428,0.89,0.16228406909788867
2024-08-16,2024-08-02,amc,Put,1,4.5,5.21,0.08,995.0,8195.0,0.12141549725442342,-0.15163147792706336,1.04,0.18963531669865644
2024-08-23,2024-08-02,amc,Put,1,4.5,5.21,0.13,50.0,620.0,0.08064516129032258,-0.16122840690978885,1.15,0.20969289827255275
2024-08-23,2024-08-02,amc,Call,1,6.0,5.21,0.25,286.0,4432.0,0.06453068592057762,0.199616122840691,1.15,0.20969289827255275
2024-08-16,2024-08-02,xom,Put,1,114.0,118.46,1.04,85.0,1292.0,0.06578947368421052,-0.046429174404862404,7.01,0.05621728853621476
2024-08-16,2024-08-02,xom,Call,1,123.0,118.46,0.75,277.0,286.0,0.9685314685314685,0.044656424109404076,7.01,0.05621728853621476
2024-08-23,2024-08-02,xom,Call,1,123.0,118.46,0.8,1.0,57.0,0.017543859649122806,0.04507850751308461,6.36,0.05100455850075975
2024-08-16,2024-08-07,clsk,Put,1,13.5,15.89,0.33,46.0,252.0,0.18253968253968253,-0.17117684078036505,2.9000000000000004,0.1733794839521712
2024-08-23,2024-08-07,clsk,Put,1,13.5,15.89,0.64,5.0,139.0,0.03597122302158273,-0.19068596601636256,3.71,0.22180616740088102
2024-08-23,2024-08-07,clsk,Call,1,18.0,15.89,1.07,52.0,418.0,0.12440191387559808,0.20012586532410317,3.71,0.22180616740088102
2025-01-17,2024-08-05,gsl,Put,1,20.0,25.85,0.46,3.0,346.0,0.008670520231213872,-0.24410058027079312,7.4,0.27195357833655703
2024-09-20,2024-08-05,gsl,Call,1,30.0,25.85,0.16,4.0,7117.0,0.0005620345651257552,0.16673114119922625,6.25,0.22969052224371372
2025-01-17,2024-08-05,gsl,Call,1,30.0,25.85,0.75,36.0,2216.0,0.016245487364620937,0.18955512572533842,7.4,0.27195357833655703
2024-09-20,2024-07-31,ctva,Put,1,45.0,55.69,0.2,3.0,133.0,0.022556390977443608,-0.19554677680014368,11.899999999999999,0.2029987430418387
2024-08-23,2024-08-07,dis,Put,1,86.0,93.0,1.08,8.0,52.0,0.15384615384615385,-0.08688172043010751,8.57,0.08754301075268818
2024-10-18,2024-08-05,chgg,Put,1,2.0,3.42,0.09,7.0,168.0,0.041666666666666664,-0.4415204678362573,1.78,0.4944444444444444
2025-01-17,2024-08-05,chgg,Put,1,2.5,3.42,0.35,2.0,3677.0,0.0005439216752787598,-0.3713450292397661,1.45,0.4027777777777778
2024-09-20,2024-08-05,chgg,Put,1,3.0,3.42,0.32,6.0,18.0,0.3333333333333333,-0.21637426900584789,1.6400000000000001,0.4555555555555556
